product_name,product_url,current_price,alert_price,category,site,last_updated,status
1:36 Scale Die Cast G-Wagon Open Door Metal Car,https://www.amazon.in/dp/B0FH59Q621?ref=cm_sw_r_cp_ud_dp_BMH3MX920BT7C1DQJ95D&ref_=cm_sw_r_cp_ud_dp_BMH3MX920BT7C1DQJ95D&social_share=cm_sw_r_cp_ud_dp_BMH3MX920BT7C1DQJ95D&th=1,269.0,250.0,Sports,Amazon,2025-10-23 10:27:17.473087,OK
OPPO K13 5G,https://www.flipkart.com/oppo-k13-5g-7000mah-80w-supervooc-charger-in-the-box-icy-purple-128-gb/p/itm6f2ebf6d205cf?pid=MOBHB392H7TZ4ZKJ&lid=LSTMOBHB392H7TZ4ZKJT3QIAI&marketplace=FLIPKART&ctx=eyJjYXJkQ29udGV4dCI6eyJhdHRyaWJ1dGVzIjp7InZhbHVlQ2FsbG91dCI6eyJtdWx0aVZhbHVlZEF0dHJpYnV0ZSI6eyJrZXkiOiJ2YWx1ZUNhbGxvdXQiLCJpbmZlcmVuY2VUeXBlIjoiVkFMVUVfQ0FMTE9VVCIsInZhbHVlcyI6WyJGcm9tIOKCuTE0LDk5OSoiXSwidmFsdWVUeXBlIjoiTVVMVElfVkFMVUVEIn19LCJ0aXRsZSI6eyJtdWx0aVZhbHVlZEF0dHJpYnV0ZSI6eyJrZXkiOiJ0aXRsZSIsImluZmVyZW5jZVR5cGUiOiJUSVRMRSIsInZhbHVlcyI6WyJPUFBPIEsxMyA1RyJdLCJ2YWx1ZVR5cGUiOiJNVUxUSV9WQUxVRUQifX0sImhlcm9QaWQiOnsic2luZ2xlVmFsdWVBdHRyaWJ1dGUiOnsia2V5IjoiaGVyb1BpZCIsImluZmVyZW5jZVR5cGUiOiJQSUQiLCJ2YWx1ZSI6Ik1PQkhCMzkySDdUWjRaS0oiLCJ2YWx1ZVR5cGUiOiJTSU5HTEVfVkFMVUVEIn19fX19,,17000.0,Electronics,Flipkart,2025-10-23 04:57:05,OK
