product_name,price,site,timestamp
1:36 Scale Die Cast G-Wagon Open Door Metal Car,269.0,Amazon,2025-10-23 04:57:17
1:36 Scale Die Cast G-Wagon Open Door Metal Car,269.0,Amazon,2025-10-23 04:56:00
